Invoice,ProductID,Product,Description,QuantityBought,Date,Price,CustomerID,Age,Gender,AverageSpend,PurchaseFrequency,Country,Category_x,Encoded_Category,Recency,Prod_cluster,text_features,product_features
299041,8687,Wireless Mouse,A lightweight wireless mouse with ergonomic design and smooth tracking.,3,00:00.0,124.59,10864,41,1,161.91,0,1,Electronics,0,373.77,0,Wireless Mouse A lightweight wireless mouse with ergonomic design and smooth tracking. Electronics,Wireless Mouse Electronics 1 124.59 A lightweight wireless mouse with ergonomic design and smooth tracking. 0
891743,9472,Water Bottle,A BPA-free reusable bottle designed to keep drinks cold for hours.,8,00:00.0,47.4,50222,57,1,53.62,2,0,Kitchen,2,379.2,1,Water Bottle A BPA-free reusable bottle designed to keep drinks cold for hours. Kitchen,Water Bottle Kitchen 0 47.4 A BPA-free reusable bottle designed to keep drinks cold for hours. 2
203355,2887,Home Decor Lamp,A warm ambient lamp with soft diffused lighting for home décor.,3,00:00.0,69.37,23666,50,0,170.57,0,2,Lighting / Decor,3,208.11,0,Home Decor Lamp A warm ambient lamp with soft diffused lighting for home décor. Lighting / Decor,Home Decor Lamp Lighting / Decor 2 69.37 A warm ambient lamp with soft diffused lighting for home décor. 0
335796,4266,LED Light Strip,A flexible RGB LED strip with multiple color modes for room decoration.,4,00:00.0,8.18,30955,34,0,17.34,2,0,Lighting / Decor,3,32.72,0,LED Light Strip A flexible RGB LED strip with multiple color modes for room decoration. Lighting / Decor,LED Light Strip Lighting / Decor 0 8.18 A flexible RGB LED strip with multiple color modes for room decoration. 2
314176,1666,Notebook,"A premium ruled notebook for writing, journaling, or office notes.",8,00:00.0,48.65,91845,41,0,83.58,2,2,Office,4,389.2,1,"Notebook A premium ruled notebook for writing, journaling, or office notes. Office","Notebook Office 2 48.65 A premium ruled notebook for writing, journaling, or office notes. 2"
284779,5188,Water Bottle,A BPA-free reusable bottle designed to keep drinks cold for hours.,1,00:00.0,77.88,79590,54,0,203.79,2,0,Kitchen,2,77.88,0,Water Bottle A BPA-free reusable bottle designed to keep drinks cold for hours. Kitchen,Water Bottle Kitchen 0 77.88 A BPA-free reusable bottle designed to keep drinks cold for hours. 2
447449,1671,Water Bottle,A BPA-free reusable bottle designed to keep drinks cold for hours.,6,00:00.0,13.15,76471,19,1,23.36,1,1,Kitchen,2,78.9,0,Water Bottle A BPA-free reusable bottle designed to keep drinks cold for hours. Kitchen,Water Bottle Kitchen 1 13.15 A BPA-free reusable bottle designed to keep drinks cold for hours. 1
521909,7777,Notebook,"A premium ruled notebook for writing, journaling, or office notes.",1,00:00.0,76.21,98314,49,0,197.53,1,2,Office,4,76.21,0,"Notebook A premium ruled notebook for writing, journaling, or office notes. Office","Notebook Office 2 76.21 A premium ruled notebook for writing, journaling, or office notes. 1"
358795,8570,Wall Clock,"A minimalist wall clock with a silent sweep mechanism, perfect for modern décor.",1,00:00.0,139.43,53298,41,1,224.69,2,2,Home Decor,1,139.43,0,"Wall Clock A minimalist wall clock with a silent sweep mechanism, perfect for modern décor. Home Decor","Wall Clock Home Decor 2 139.43 A minimalist wall clock with a silent sweep mechanism, perfect for modern décor. 2"
586232,8956,Wireless Mouse,A lightweight wireless mouse with ergonomic design and smooth tracking.,8,00:00.0,20.28,73108,26,0,23.23,0,0,Electronics,0,162.24,0,Wireless Mouse A lightweight wireless mouse with ergonomic design and smooth tracking. Electronics,Wireless Mouse Electronics 0 20.28 A lightweight wireless mouse with ergonomic design and smooth tracking. 0
600186,6124,Desk Organizer,A multi-section organizer that keeps workspace essentials neatly arranged.,4,00:00.0,115.84,58924,21,1,331.91,2,0,Office,4,463.36,1,Desk Organizer A multi-section organizer that keeps workspace essentials neatly arranged. Office,Desk Organizer Office 0 115.84 A multi-section organizer that keeps workspace essentials neatly arranged. 2
256730,6585,Wireless Mouse,A lightweight wireless mouse with ergonomic design and smooth tracking.,1,00:00.0,64.4,26709,34,1,115.22,2,3,Electronics,0,64.4,0,Wireless Mouse A lightweight wireless mouse with ergonomic design and smooth tracking. Electronics,Wireless Mouse Electronics 3 64.4 A lightweight wireless mouse with ergonomic design and smooth tracking. 2
970910,5777,Notebook,"A premium ruled notebook for writing, journaling, or office notes.",7,00:00.0,100.0,19726,34,1,258.54,1,0,Office,4,700.0,1,"Notebook A premium ruled notebook for writing, journaling, or office notes. Office","Notebook Office 0 100.0 A premium ruled notebook for writing, journaling, or office notes. 1"
484681,4900,Home Decor Lamp,A warm ambient lamp with soft diffused lighting for home décor.,5,00:00.0,42.73,70824,47,0,66.59,2,0,Lighting / Decor,3,213.64999999999998,0,Home Decor Lamp A warm ambient lamp with soft diffused lighting for home décor. Lighting / Decor,Home Decor Lamp Lighting / Decor 0 42.73 A warm ambient lamp with soft diffused lighting for home décor. 2
249503,7677,Desk Organizer,A multi-section organizer that keeps workspace essentials neatly arranged.,5,00:00.0,28.13,50542,57,1,64.49,0,0,Office,4,140.65,0,Desk Organizer A multi-section organizer that keeps workspace essentials neatly arranged. Office,Desk Organizer Office 0 28.13 A multi-section organizer that keeps workspace essentials neatly arranged. 0
754811,7981,LED Light Strip,A flexible RGB LED strip with multiple color modes for room decoration.,1,00:00.0,28.27,30245,28,0,77.65,1,3,Lighting / Decor,3,28.27,0,LED Light Strip A flexible RGB LED strip with multiple color modes for room decoration. Lighting / Decor,LED Light Strip Lighting / Decor 3 28.27 A flexible RGB LED strip with multiple color modes for room decoration. 1
627035,7376,Wireless Mouse,A lightweight wireless mouse with ergonomic design and smooth tracking.,6,00:00.0,15.22,44753,38,0,16.49,2,3,Electronics,0,91.32000000000001,0,Wireless Mouse A lightweight wireless mouse with ergonomic design and smooth tracking. Electronics,Wireless Mouse Electronics 3 15.22 A lightweight wireless mouse with ergonomic design and smooth tracking. 2
748143,1523,Notebook,"A premium ruled notebook for writing, journaling, or office notes.",9,00:00.0,31.92,89788,38,0,84.95,2,0,Office,4,287.28000000000003,1,"Notebook A premium ruled notebook for writing, journaling, or office notes. Office","Notebook Office 0 31.92 A premium ruled notebook for writing, journaling, or office notes. 2"
552366,3393,Wireless Mouse,A lightweight wireless mouse with ergonomic design and smooth tracking.,9,00:00.0,101.31,31316,35,0,217.07,1,0,Electronics,0,911.79,1,Wireless Mouse A lightweight wireless mouse with ergonomic design and smooth tracking. Electronics,Wireless Mouse Electronics 0 101.31 A lightweight wireless mouse with ergonomic design and smooth tracking. 1
165725,3593,Desk Organizer,A multi-section organizer that keeps workspace essentials neatly arranged.,8,00:00.0,132.85,94698,46,1,294.26,2,0,Office,4,1062.8,1,Desk Organizer A multi-section organizer that keeps workspace essentials neatly arranged. Office,Desk Organizer Office 0 132.85 A multi-section organizer that keeps workspace essentials neatly arranged. 2
229981,8240,Bluetooth Speaker,A portable Bluetooth speaker with clear sound and deep bass.,5,00:00.0,123.05,25960,41,0,251.8,1,3,Electronics,0,615.25,1,Bluetooth Speaker A portable Bluetooth speaker with clear sound and deep bass. Electronics,Bluetooth Speaker Electronics 3 123.05 A portable Bluetooth speaker with clear sound and deep bass. 1
184654,7937,Storage Box,A sturdy plastic storage box ideal for organizing household items.,1,00:00.0,104.34,40791,27,1,286.83,1,0,Storage,5,104.34,0,Storage Box A sturdy plastic storage box ideal for organizing household items. Storage,Storage Box Storage 0 104.34 A sturdy plastic storage box ideal for organizing household items. 1
691723,7190,Wireless Mouse,A lightweight wireless mouse with ergonomic design and smooth tracking.,9,00:00.0,21.01,35216,34,1,22.84,1,0,Electronics,0,189.09,0,Wireless Mouse A lightweight wireless mouse with ergonomic design and smooth tracking. Electronics,Wireless Mouse Electronics 0 21.01 A lightweight wireless mouse with ergonomic design and smooth tracking. 1
419030,6240,LED Light Strip,A flexible RGB LED strip with multiple color modes for room decoration.,1,00:00.0,46.93,42467,35,0,71.43,2,2,Lighting / Decor,3,46.93,0,LED Light Strip A flexible RGB LED strip with multiple color modes for room decoration. Lighting / Decor,LED Light Strip Lighting / Decor 2 46.93 A flexible RGB LED strip with multiple color modes for room decoration. 2
428947,7493,LED Light Strip,A flexible RGB LED strip with multiple color modes for room decoration.,8,00:00.0,49.92,74427,59,1,137.36,0,2,Lighting / Decor,3,399.36,1,LED Light Strip A flexible RGB LED strip with multiple color modes for room decoration. Lighting / Decor,LED Light Strip Lighting / Decor 2 49.92 A flexible RGB LED strip with multiple color modes for room decoration. 0
655839,3878,Ceramic Mug,A durable ceramic mug with a smooth matte finish for hot beverages.,5,00:00.0,41.24,72047,37,0,103.29,1,2,Kitchen,2,206.20000000000002,0,Ceramic Mug A durable ceramic mug with a smooth matte finish for hot beverages. Kitchen,Ceramic Mug Kitchen 2 41.24 A durable ceramic mug with a smooth matte finish for hot beverages. 1
373538,5143,Wireless Mouse,A lightweight wireless mouse with ergonomic design and smooth tracking.,3,00:00.0,79.68,83290,54,0,82.49,1,1,Electronics,0,239.04000000000002,0,Wireless Mouse A lightweight wireless mouse with ergonomic design and smooth tracking. Electronics,Wireless Mouse Electronics 1 79.68 A lightweight wireless mouse with ergonomic design and smooth tracking. 1
431236,4644,Storage Box,A sturdy plastic storage box ideal for organizing household items.,7,00:00.0,82.66,57014,35,0,168.13,2,0,Storage,5,578.62,1,Storage Box A sturdy plastic storage box ideal for organizing household items. Storage,Storage Box Storage 0 82.66 A sturdy plastic storage box ideal for organizing household items. 2
628178,5432,Wall Clock,"A minimalist wall clock with a silent sweep mechanism, perfect for modern décor.",7,00:00.0,56.75,14078,34,1,116.86,1,3,Home Decor,1,397.25,0,"Wall Clock A minimalist wall clock with a silent sweep mechanism, perfect for modern décor. Home Decor","Wall Clock Home Decor 3 56.75 A minimalist wall clock with a silent sweep mechanism, perfect for modern décor. 1"
665894,2276,Water Bottle,A BPA-free reusable bottle designed to keep drinks cold for hours.,9,00:00.0,56.3,88389,26,1,101.44,1,0,Kitchen,2,506.7,1,Water Bottle A BPA-free reusable bottle designed to keep drinks cold for hours. Kitchen,Water Bottle Kitchen 0 56.3 A BPA-free reusable bottle designed to keep drinks cold for hours. 1
589492,6811,Storage Box,A sturdy plastic storage box ideal for organizing household items.,7,00:00.0,125.14,60519,31,0,199.57,0,3,Storage,5,875.98,1,Storage Box A sturdy plastic storage box ideal for organizing household items. Storage,Storage Box Storage 3 125.14 A sturdy plastic storage box ideal for organizing household items. 0
356840,1302,Water Bottle,A BPA-free reusable bottle designed to keep drinks cold for hours.,3,00:00.0,119.45,14042,46,0,282.31,2,0,Kitchen,2,358.35,0,Water Bottle A BPA-free reusable bottle designed to keep drinks cold for hours. Kitchen,Water Bottle Kitchen 0 119.45 A BPA-free reusable bottle designed to keep drinks cold for hours. 2
573254,1638,Water Bottle,A BPA-free reusable bottle designed to keep drinks cold for hours.,1,00:00.0,49.63,59052,48,1,70.26,2,3,Kitchen,2,49.63,0,Water Bottle A BPA-free reusable bottle designed to keep drinks cold for hours. Kitchen,Water Bottle Kitchen 3 49.63 A BPA-free reusable bottle designed to keep drinks cold for hours. 2
449457,1055,Bluetooth Speaker,A portable Bluetooth speaker with clear sound and deep bass.,8,00:00.0,137.5,24389,21,0,357.21,1,3,Electronics,0,1100.0,1,Bluetooth Speaker A portable Bluetooth speaker with clear sound and deep bass. Electronics,Bluetooth Speaker Electronics 3 137.5 A portable Bluetooth speaker with clear sound and deep bass. 1
765987,9717,Ceramic Mug,A durable ceramic mug with a smooth matte finish for hot beverages.,3,00:00.0,143.16,78111,35,1,373.09,2,0,Kitchen,2,429.48,1,Ceramic Mug A durable ceramic mug with a smooth matte finish for hot beverages. Kitchen,Ceramic Mug Kitchen 0 143.16 A durable ceramic mug with a smooth matte finish for hot beverages. 2
370936,9150,Storage Box,A sturdy plastic storage box ideal for organizing household items.,8,00:00.0,52.38,60733,37,1,95.88,0,1,Storage,5,419.04,1,Storage Box A sturdy plastic storage box ideal for organizing household items. Storage,Storage Box Storage 1 52.38 A sturdy plastic storage box ideal for organizing household items. 0
339931,3125,Storage Box,A sturdy plastic storage box ideal for organizing household items.,8,00:00.0,56.39,44754,26,0,88.37,2,0,Storage,5,451.12,1,Storage Box A sturdy plastic storage box ideal for organizing household items. Storage,Storage Box Storage 0 56.39 A sturdy plastic storage box ideal for organizing household items. 2
339629,1364,Bluetooth Speaker,A portable Bluetooth speaker with clear sound and deep bass.,5,00:00.0,78.32,28624,30,1,122.79,1,0,Electronics,0,391.59999999999997,0,Bluetooth Speaker A portable Bluetooth speaker with clear sound and deep bass. Electronics,Bluetooth Speaker Electronics 0 78.32 A portable Bluetooth speaker with clear sound and deep bass. 1
305041,7809,Wireless Mouse,A lightweight wireless mouse with ergonomic design and smooth tracking.,1,00:00.0,141.46,95886,32,0,277.91,0,0,Electronics,0,141.46,0,Wireless Mouse A lightweight wireless mouse with ergonomic design and smooth tracking. Electronics,Wireless Mouse Electronics 0 141.46 A lightweight wireless mouse with ergonomic design and smooth tracking. 0
798361,5621,Wireless Mouse,A lightweight wireless mouse with ergonomic design and smooth tracking.,7,00:00.0,132.07,36681,44,1,322.14,1,0,Electronics,0,924.49,1,Wireless Mouse A lightweight wireless mouse with ergonomic design and smooth tracking. Electronics,Wireless Mouse Electronics 0 132.07 A lightweight wireless mouse with ergonomic design and smooth tracking. 1
831912,6126,Wireless Mouse,A lightweight wireless mouse with ergonomic design and smooth tracking.,5,00:00.0,19.87,99524,32,1,34.13,2,0,Electronics,0,99.35000000000001,0,Wireless Mouse A lightweight wireless mouse with ergonomic design and smooth tracking. Electronics,Wireless Mouse Electronics 0 19.87 A lightweight wireless mouse with ergonomic design and smooth tracking. 2
517113,6122,Home Decor Lamp,A warm ambient lamp with soft diffused lighting for home décor.,8,00:00.0,61.95,91006,45,0,137.53,2,2,Lighting / Decor,3,495.6,1,Home Decor Lamp A warm ambient lamp with soft diffused lighting for home décor. Lighting / Decor,Home Decor Lamp Lighting / Decor 2 61.95 A warm ambient lamp with soft diffused lighting for home décor. 2
168148,2646,Water Bottle,A BPA-free reusable bottle designed to keep drinks cold for hours.,9,00:00.0,85.24,34704,54,0,150.45,1,0,Kitchen,2,767.16,1,Water Bottle A BPA-free reusable bottle designed to keep drinks cold for hours. Kitchen,Water Bottle Kitchen 0 85.24 A BPA-free reusable bottle designed to keep drinks cold for hours. 1
877089,1918,Home Decor Lamp,A warm ambient lamp with soft diffused lighting for home décor.,7,00:00.0,77.95,17493,36,1,125.43,2,0,Lighting / Decor,3,545.65,1,Home Decor Lamp A warm ambient lamp with soft diffused lighting for home décor. Lighting / Decor,Home Decor Lamp Lighting / Decor 0 77.95 A warm ambient lamp with soft diffused lighting for home décor. 2
748531,3797,Ceramic Mug,A durable ceramic mug with a smooth matte finish for hot beverages.,7,00:00.0,33.11,79639,43,1,34.76,0,0,Kitchen,2,231.76999999999998,0,Ceramic Mug A durable ceramic mug with a smooth matte finish for hot beverages. Kitchen,Ceramic Mug Kitchen 0 33.11 A durable ceramic mug with a smooth matte finish for hot beverages. 0
351995,7506,Bluetooth Speaker,A portable Bluetooth speaker with clear sound and deep bass.,1,00:00.0,129.53,64383,43,0,130.54,0,3,Electronics,0,129.53,0,Bluetooth Speaker A portable Bluetooth speaker with clear sound and deep bass. Electronics,Bluetooth Speaker Electronics 3 129.53 A portable Bluetooth speaker with clear sound and deep bass. 0
778843,6870,Storage Box,A sturdy plastic storage box ideal for organizing household items.,4,00:00.0,103.16,12994,42,1,150.04,1,1,Storage,5,412.64,1,Storage Box A sturdy plastic storage box ideal for organizing household items. Storage,Storage Box Storage 1 103.16 A sturdy plastic storage box ideal for organizing household items. 1
672843,2531,Water Bottle,A BPA-free reusable bottle designed to keep drinks cold for hours.,2,00:00.0,126.5,79280,43,0,229.32,2,3,Kitchen,2,253.0,0,Water Bottle A BPA-free reusable bottle designed to keep drinks cold for hours. Kitchen,Water Bottle Kitchen 3 126.5 A BPA-free reusable bottle designed to keep drinks cold for hours. 2
356508,9172,Home Decor Lamp,A warm ambient lamp with soft diffused lighting for home décor.,2,00:00.0,129.52,57234,43,0,350.03,2,1,Lighting / Decor,3,259.04,0,Home Decor Lamp A warm ambient lamp with soft diffused lighting for home décor. Lighting / Decor,Home Decor Lamp Lighting / Decor 1 129.52 A warm ambient lamp with soft diffused lighting for home décor. 2
903591,4345,Home Decor Lamp,A warm ambient lamp with soft diffused lighting for home décor.,2,00:00.0,113.51,57291,45,1,294.78,1,2,Lighting / Decor,3,227.02,0,Home Decor Lamp A warm ambient lamp with soft diffused lighting for home décor. Lighting / Decor,Home Decor Lamp Lighting / Decor 2 113.51 A warm ambient lamp with soft diffused lighting for home décor. 1
996942,8673,Notebook,"A premium ruled notebook for writing, journaling, or office notes.",4,00:00.0,68.69,15594,35,0,105.39,0,1,Office,4,274.76,0,"Notebook A premium ruled notebook for writing, journaling, or office notes. Office","Notebook Office 1 68.69 A premium ruled notebook for writing, journaling, or office notes. 0"
206530,7949,Home Decor Lamp,A warm ambient lamp with soft diffused lighting for home décor.,1,00:00.0,93.53,17371,49,1,139.27,1,3,Lighting / Decor,3,93.53,0,Home Decor Lamp A warm ambient lamp with soft diffused lighting for home décor. Lighting / Decor,Home Decor Lamp Lighting / Decor 3 93.53 A warm ambient lamp with soft diffused lighting for home décor. 1
704365,7882,Wall Clock,"A minimalist wall clock with a silent sweep mechanism, perfect for modern décor.",4,00:00.0,28.25,57315,20,0,41.09,0,0,Home Decor,1,113.0,0,"Wall Clock A minimalist wall clock with a silent sweep mechanism, perfect for modern décor. Home Decor","Wall Clock Home Decor 0 28.25 A minimalist wall clock with a silent sweep mechanism, perfect for modern décor. 0"
922352,2906,Storage Box,A sturdy plastic storage box ideal for organizing household items.,2,00:00.0,102.68,93564,19,1,172.35,0,3,Storage,5,205.36,0,Storage Box A sturdy plastic storage box ideal for organizing household items. Storage,Storage Box Storage 3 102.68 A sturdy plastic storage box ideal for organizing household items. 0
560337,4086,Wall Clock,"A minimalist wall clock with a silent sweep mechanism, perfect for modern décor.",5,00:00.0,30.99,89526,50,0,61.87,1,3,Home Decor,1,154.95,0,"Wall Clock A minimalist wall clock with a silent sweep mechanism, perfect for modern décor. Home Decor","Wall Clock Home Decor 3 30.99 A minimalist wall clock with a silent sweep mechanism, perfect for modern décor. 1"
824839,9152,Storage Box,A sturdy plastic storage box ideal for organizing household items.,3,00:00.0,105.62,26626,59,0,198.28,1,1,Storage,5,316.86,0,Storage Box A sturdy plastic storage box ideal for organizing household items. Storage,Storage Box Storage 1 105.62 A sturdy plastic storage box ideal for organizing household items. 1
905889,6750,Bluetooth Speaker,A portable Bluetooth speaker with clear sound and deep bass.,8,00:00.0,38.29,96005,36,1,55.01,1,1,Electronics,0,306.32,0,Bluetooth Speaker A portable Bluetooth speaker with clear sound and deep bass. Electronics,Bluetooth Speaker Electronics 1 38.29 A portable Bluetooth speaker with clear sound and deep bass. 1
559773,9905,Storage Box,A sturdy plastic storage box ideal for organizing household items.,4,00:00.0,22.04,17130,34,0,27.79,1,1,Storage,5,88.16,0,Storage Box A sturdy plastic storage box ideal for organizing household items. Storage,Storage Box Storage 1 22.04 A sturdy plastic storage box ideal for organizing household items. 1
308261,2062,Wall Clock,"A minimalist wall clock with a silent sweep mechanism, perfect for modern décor.",1,00:00.0,28.97,16828,50,0,29.7,0,1,Home Decor,1,28.97,0,"Wall Clock A minimalist wall clock with a silent sweep mechanism, perfect for modern décor. Home Decor","Wall Clock Home Decor 1 28.97 A minimalist wall clock with a silent sweep mechanism, perfect for modern décor. 0"
864469,2976,Storage Box,A sturdy plastic storage box ideal for organizing household items.,1,00:00.0,5.29,67514,29,0,6.92,0,0,Storage,5,5.29,0,Storage Box A sturdy plastic storage box ideal for organizing household items. Storage,Storage Box Storage 0 5.29 A sturdy plastic storage box ideal for organizing household items. 0
